web-scraper-order,web-scraper-start-url,date - time,team1,team2,result (team1 - team2),lineups,lineups-href,team1 player1,attendance,place,round,team1 player2,team1 player3,team1 player4,team1 player5,team1 player6,team1 player7,team1 player8,team1 player9,team1 player10,team1 player11,team1 missing player1,team1 missing player2,team1 missing player3,team2 player1,team2 player2,team2 player3,team2 player4,team2 player5,team2 player6,team2 player7,team2 player8,team2 player9,team2 player10,team2 player11,team2 missing player1,team2 missing player2,team2 missing player3
"1676815713-1414","https://www.flashscore.com/match/hQPuf7uG/#/match-summary","17.08.2013 20:00","Real Sociedad","Getafe","2-0Finished","Lineups","https://www.flashscore.com/match/hQPuf7uG/#/match-summary/lineups","Ansotegi I.","null","Reale Arena (San Sebastian)","LaLiga - Round 1","Bravo C. (G)","Castro Irizábal G.","de La Bella A.","Elustondo G.","Martinez C.","Martinez I.","Pardo R.","Seferovic H.","Vela C.","Zurutuza D.","null","null","null","Alexis","Castro D.","Colunga A.","Escudero S.","Lacen M.","Lafita A.","Michel","Miku","Moya M. A. (G)","Rafa","Valera J.","null","null","null"
"1676815722-1415","https://www.flashscore.com/match/bqv1xKho/#/match-summary","17.08.2013 22:00","Valladolid","Ath Bilbao","1-2Finished","Lineups","https://www.flashscore.com/match/bqv1xKho/#/match-summary/lineups","Ebert P.","null","Estadio José Zorrilla (Valladolid)","LaLiga - Round 1","Gonzalez O.","Guerra J.","Marino D. (G)","Omar","Pena C.","Rubio A.","Rueda J.","Rukavina A.","Sastre L.","Valiente M.","null","null","null","Balenziaga M.","Benat","Ekiza B.","Gurpegi C.","Herrera A.","Iraizoz G. (G)","Iraola A.","Iturraspe A.","Muniain I.","Sola","Susaeta M.","null","null","null"
"1676815730-1416","https://www.flashscore.com/match/6TDLdlv0/#/match-summary","18.08.2013 00:00","Valencia","Malaga","1-0Finished","Lineups","https://www.flashscore.com/match/6TDLdlv0/#/match-summary/lineups","Banega E.","null","Estadio de Mestalla (Valencia)","LaLiga - Round 1","Bernat J.","Cartabia F.","Costa R.","Diego Alves (G)","Fuego J.","Michel","Pereira J.","Postiga H.","Rami A.","Viera J.","null","null","null","Angeleri M.","Antunes V.","Caballero W. (G)","Chen R.","Darder S.","Duda","Gamez J.","Morales P.","Olinga F.","Santa C. R.","Tissone F.","null","null","null"
"1676815739-1417","https://www.flashscore.com/match/hQ9HcUOg/#/match-summary","18.08.2013 20:00","Barcelona","Levante","7-0Finished","Lineups","https://www.flashscore.com/match/hQ9HcUOg/#/match-summary/lineups","Adriano","null","Camp Nou (Barcelona)","LaLiga - Round 1","Busquets S.","Dani Alves","Fabregas C.","Mascherano J.","Messi L.","Pedro","Pique G.","Sanchez A.","Valdes V. (G)","Xavi","null","null","null","Barral D.","da Silva Pinto S.","El Zhar N.","Garcia R.","Juanfran","Lopez P.","Navarro D.","Navas K. (G)","Rodas H.","Simao","Xumetra J.","null","null","null"
"1676815747-1418","https://www.flashscore.com/match/Sr2UfS8C/#/match-summary","18.08.2013 22:00","Real Madrid","Betis","2-1Finished","Lineups","https://www.flashscore.com/match/Sr2UfS8C/#/match-summary/lineups","Benzema K.","null","Estadio Santiago Bernabéu (Madrid)","LaLiga - Round 1","Carvajal D.","Isco","Khedira S.","Lopez D. (G)","Marcelo","Modric L.","Ozil M.","Pepe","Ramos S.","Ronaldo C.","null","null","null","Andersen S. (G)","Cedrick","Chica F.","Igiebor N.","Juanfran","Matilla J.","Molina J.","Nacho","Paulao","Perquis D.","Verdu J.","null","null","null"
"1676815756-1419","https://www.flashscore.com/match/WGOqgRfM/#/match-summary","18.08.2013 22:00","Osasuna","Granada CF","1-2Finished","Lineups","https://www.flashscore.com/match/WGOqgRfM/#/match-summary/lineups","Armenteros E.","null","Estadio El Sadar (Pamplona)","LaLiga - Round 1","Arribas A.","Bertran M.","Cejudo A.","de las Cuevas M.","Fernandez A. (G)","Loe R.","Loties J.","Nunez J.","Oriol J.","Punal F.","null","null","null","Angulo B.","Benitez D.","Brahimi Y.","Diakhate P.","El Arabi Y.","Fernandez R. (G)","Iturra M.","Murillo J.","Nyom A.","Piti","Yebda H.","null","null","null"
"1676815764-1420","https://www.flashscore.com/match/MJGXgnOI/#/match-summary","19.08.2013 00:00","Sevilla","Atl. Madrid","1-3Finished","Lineups","https://www.flashscore.com/match/MJGXgnOI/#/match-summary/lineups","Bacca C.","null","Estadio Ramón Sánchez Pizjuán (Sevilla)","LaLiga - Round 1","Beto (G)","Coke","Fazio F.","Iborra V.","Marin M.","Moreno A.","Pareja N.","Perotti D.","Rakitic I.","Vitolo","null","null","null","Costa D.","Courtois T. (G)","Filipe Luis","Gabi","Godin D.","Juanfran","Koke","Miranda","Suarez M.","Turan A.","Villa D.","null","null","null"
"1676815772-1421","https://www.flashscore.com/match/O69aASPd/#/match-summary","19.08.2013 21:00","Rayo Vallecano","Elche","3-0Finished","Lineups","https://www.flashscore.com/match/O69aASPd/#/match-summary/lineups","Bangoura A.","null","Campo de Futbol de Vallecas (Madrid)","LaLiga - Round 1","Bueno","Carlos J.","Cobeno D. (G)","Galeano L.","Galvez A.","Larrivey J.","Nacho","Niguez S.","Tito","Trashorras R.","null","null","null","Botia A.","Cisma D.","Coro","del Moral M.","Generelo D.","Gil C.","Herrera M. (G)","Lomban D.","Niguez A.","Rivera A.","Sapunaru C.","null","null","null"
"1676815781-1422","https://www.flashscore.com/match/8bRCnPXk/#/match-summary","19.08.2013 23:00","Celta Vigo","Espanyol","2-2Finished","Lineups","https://www.flashscore.com/match/8bRCnPXk/#/match-summary/lineups","Cabral G.","null","Estadio de Balaídos (Vigo)","LaLiga - Round 1","Charles","Fernandez A.","Fontas A.","Krohn-Dehli M.","Lopez A.","Mallo H.","Nolito","Oubina B.","Toni","Yoel (G)","null","null","null","Casilla K. (G)","Colotto D.","Fuentes J. R.","Garcia S.","Lopez D.","Lopez J.","Moreno H.","Pizzi","Sanchez V.","Simao","Stuani C.","null","null","null"
"1676815789-1423","https://www.flashscore.com/match/M1VGoqmd/#/match-summary","19.08.2013 23:00","Almeria","Villarreal","2-3Finished","Lineups","https://www.flashscore.com/match/M1VGoqmd/#/match-summary/lineups","Dubarbier S.","null","Estadio de los Juegos Mediterráneos (Almería)","LaLiga - Round 1","Esteban (G)","Pellerano H.","Rafita","Rodri","Soriano F.","Suso","Tebar M.","Trujillo A.","Verza","Vidal A.","null","null","null","Asenjo S. (G)","Bruno","Cani","Costa J.","dos Santos G.","Hernan Perez","Iniguez P.","Mario Gaspar","Musacchio M.","Pina T.","Uche I.","null","null","null"
