player,team
Adria,Malaga
Baston,Malaga
Baysse,Malaga
Gonzalez,Malaga
Hernandez,Malaga
Jimenez,Malaga
Juanka,Malaga
Kuzmanovic,Malaga
Juanp,Malaga
Recio,Malaga
Ramis,Malaga
Ramis,Eibar
Charle,Eibar
Cot,Eibar
Dmitrovic,Eibar
Garcia,Eibar
Inui,Eibar
Jordan,Eibar
Oliveira,Eibar
Pena,Eibar
Alegria,Levante
Bardhi,Levante
Campana,Levante
Chem,Levante
Fernandez,Levante
Jaso,Levante
Lerma,Levante
Morales,Levante
Lopez,Levante
Postigo,Levante
Unal,Levante
Unal,Villarreal
Costa,Villarreal
Fernandez,Villarreal
Fornals,Villarreal
Gonzalez,Villarreal
Rodr,Villarreal
Ruiz,Villarreal
Rukavina,Villarreal
Sansone,Villarreal
Trigueros,Villarreal
Andone,Dep. La Coruna
Bakkali,Dep. La Coruna
Borges,Dep. La Coruna
Cartabia,Dep. La Coruna
Guilherm,Dep. La Coruna
Juanfra,Dep. La Coruna
Luisinh,Dep. La Coruna
Ruben,Dep. La Coruna
Mosquera,Dep. La Coruna
Schar,Dep. La Coruna
Ramos,Dep. La Coruna
Ramos,Real Madrid
Benzema,Real Madrid
Carvajal,Real Madrid
Casemir,Real Madrid
Fernandez,Real Madrid
Isc,Real Madrid
Kroos,Real Madrid
Marcel,Real Madrid
Modric,Real Madrid
Navas,Real Madrid
Alba,Barcelona
Alcacer,Barcelona
Busquets,Barcelona
Deulofeu,Barcelona
Mascherano,Barcelona
Messi,Barcelona
Rakitic,Barcelona
Semedo,Barcelona
Roberto,Barcelona
ter,Barcelona
Tosca,Barcelona
Tosca,Betis
Barragan,Betis
Camarasa,Betis
Feddal,Betis
Guardado,Betis
Joaquin,Betis
Leiva,Betis
Leon,Betis
Mandi,Betis
Narvaez,Betis
Arrizabalaga,Ath Bilbao
Balenziaga,Ath Bilbao
Bena,Ath Bilbao
de,Ath Bilbao
Garcia,Ath Bilbao
Laporte,Ath Bilbao
Muniain,Ath Bilbao
San,Ath Bilbao
Nunez,Ath Bilbao
Susaeta,Ath Bilbao
Suarez,Ath Bilbao
Suarez,Getafe
Cala,Getafe
Djen,Getafe
Fajr,Getafe
Guaita,Getafe
Jimenez,Getafe
Molina,Getafe
Molinero,Getafe
Ndiaye,Getafe
Shibasaki,Getafe
Corchia,Sevilla
Gans,Sevilla
Kjaer,Sevilla
Lasso,Sevilla
Lenglet,Sevilla
Muriel,Sevilla
Navas,Sevilla
N'Zonzi,Sevilla
Nolit,Sevilla
Sarabia,Sevilla
Piatti,Sevilla
Piatti,Espanyol
Fuego,Espanyol
Jurado,Espanyol
Leo,Espanyol
Lopez,Espanyol
Martin,Espanyol
Moreno,Espanyol
Nald,Espanyol
Ada,Girona
Alcala,Girona
Bernard,Girona
Garcia,Girona
Granell,Girona
Iraizoz,Girona
Maffeo,Girona
Pons,Girona
Muniesa,Girona
Port,Girona
Torres,Girona
Torres,Atl. Madrid
Gabi,Atl. Madrid
Gimenez,Atl. Madrid
Griezmann,Atl. Madrid
Hernandez,Atl. Madrid
Juanfra,Atl. Madrid
Kok,Atl. Madrid
Niguez,Atl. Madrid
Oblak,Atl. Madrid
Savic,Atl. Madrid
Alvarez,Celta Vigo
Aspas,Celta Vigo
Cabral,Celta Vigo
Fontas,Celta Vigo
Gomez,Celta Vigo
Jonn,Celta Vigo
Jozabe,Celta Vigo
Radoja,Celta Vigo
Mallo,Celta Vigo
Sisto,Celta Vigo
Zurutuza,Celta Vigo
Zurutuza,Real Sociedad
Elustondo,Real Sociedad
Illarramendi,Real Sociedad
Navas,Real Sociedad
Odriozola,Real Sociedad
Oyarzabal,Real Sociedad
Prieto,Real Sociedad
Rodrigues,Real Sociedad
Rulli,Real Sociedad
Willian,Real Sociedad
Cancelo,Valencia
Garay,Valencia
Gaya,Valencia
Medran,Valencia
Neto,Valencia
Parejo,Valencia
Rodrig,Valencia
Vezo,Valencia
Soler,Valencia
Vidal,Valencia
Vitol,Valencia
Vitol,Las Palmas
Calleri,Las Palmas
Castellano,Las Palmas
Chichizola,Las Palmas
Halilovic,Las Palmas
Lemos,Las Palmas
Navarro,Las Palmas
Simon,Las Palmas
Tan,Las Palmas
Viera,Las Palmas
Eraso,Leganes
Gabrie,Leganes
Guerrer,Leganes
Mantovani,Leganes
Munoz,Leganes
Oma,Leganes
Perez,Leganes
Rico,Leganes
Pichu,Leganes
Szymanowski,Leganes
Wakaso,Leganes
Wakaso,Alaves
Burgu,Alaves
Ely,Alaves
Garcia,Alaves
Iba,Alaves
Pacheco,Alaves
Pedraza,Alaves
Santos,Alaves
Sobrino,Alaves
Vigaray,Alaves
Asensio,Real Madrid
Bale,Real Madrid
Marcelo,Real Madrid
Zaza,Real Madrid
Zaza,Valencia
Kondogbia,Valencia
Lato,Valencia
Montoya,Valencia
Murillo,Valencia
Antunes,Getafe
Arambarri,Getafe
Bergara,Getafe
Rico,Getafe
Rico,Sevilla
Escudero,Sevilla
Gabriel,Sevilla
