,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Club_Joining,Contract_Expiry,Rating,Height,Weight,Preffered_Foot,Birth_Date,Age,Preffered_Position,Work_Rate,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
0,Marcos Llorente,Spain,,,Alaves,RDM,6.0,11/28/2014,2018.0,77,183 cm,71 kg,Right,1/30/1995,22,CDM/CM,Medium / Medium,3,2,77,68,64,69,76,65,74,65,78,73,60,56,84,81,58,56,77,71,66,55,65,61,58,39,56,45,51,53,44,11,13,6,6,15
1,Daniel Torres,Colombia,Sub,16.0,Alaves,Sub,16.0,7/20/2016,2020.0,77,183 cm,81 kg,Right,11/15/1989,27,CDM/CM,Medium / High,3,2,72,71,63,74,75,87,81,62,82,71,80,62,76,75,59,57,80,76,56,68,79,61,73,55,61,57,50,72,48,15,15,8,11,12
2,Pacheco,Spain,,,Alaves,GK,1.0,8/7/2015,2020.0,77,186 cm,81 kg,Left,5/18/1992,24,GK,Medium / Medium,2,1,14,13,13,13,16,27,76,14,26,45,27,12,23,25,48,44,43,64,51,62,72,10,21,16,15,20,20,23,13,80,77,63,73,76
3,Zouhair Feddal,Morocco,,,Alaves,LCB,24.0,7/16/2016,2019.0,77,190 cm,78 kg,Left,1/1/1989,28,CB/LB,Medium / Medium,2,2,65,56,78,71,79,82,68,44,81,47,58,57,66,68,53,63,67,79,34,48,71,73,67,40,56,36,38,48,39,10,13,12,14,8
4,Óscar Romero,Paraguay,Sub,21.0,Alaves,Sub,10.0,1/8/2017,2020.0,76,176 cm,73 kg,Left,7/4/1992,24,RM/LM,Medium / Low,3,4,78,80,23,25,24,50,69,68,39,75,69,69,76,75,79,77,74,60,83,77,58,52,73,76,75,76,62,65,53,14,8,14,7,10
5,Camarasa,Spain,,,Alaves,CAM,8.0,7/1/2012,2019.0,76,183 cm,76 kg,Right,5/28/1994,22,CM/CAM,Medium / Medium,3,3,80,72,58,68,73,72,69,68,70,76,69,59,79,74,65,61,75,76,69,67,72,57,76,66,69,57,66,56,59,11,14,11,9,8
6,Deyverson,Brazil,,,Alaves,ST,20.0,7/27/2015,2019.0,76,187 cm,78 kg,Left,5/8/1991,25,ST,High / High,3,3,74,66,21,36,39,82,79,80,34,55,67,57,64,46,73,79,75,73,49,73,85,81,76,75,65,48,31,66,75,9,7,11,15,11
7,Ibai Gómez,Spain,,,Alaves,LM,11.0,7/30/2016,2019.0,76,177 cm,72 kg,Right,11/11/1989,27,LM/CAM,High / Medium,4,3,80,81,45,55,58,63,64,70,45,75,67,77,73,75,77,75,69,65,77,82,64,47,82,73,78,85,81,65,75,7,14,13,8,11
8,Laguardia,Spain,,,Alaves,RCB,5.0,7/11/2014,2020.0,76,185 cm,75 kg,Right,11/5/1989,27,CB,Medium / High,3,2,57,35,76,74,77,89,67,44,76,46,71,42,68,56,58,66,84,80,57,51,74,71,35,49,30,38,35,32,29,9,14,13,12,10
9,Alexis,Spain,,,Alaves,Sub,4.0,7/29/2016,2018.0,76,183 cm,75 kg,Right,8/4/1985,31,CB/RB,Medium / Medium,3,2,63,48,76,73,75,82,63,53,72,48,74,57,75,63,55,62,68,79,58,57,76,80,67,22,24,49,43,30,40,10,16,13,8,13
