,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Club_Joining,Contract_Expiry,Rating,Height,Weight,Preffered_Foot,Birth_Date,Age,Preffered_Position,Work_Rate,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
0,Damián Suárez,Uruguay,,,Getafe,RB,22.0,7/8/2015,2018.0,74,172 cm,61 kg,Right,4/27/1988,28,RB/RWB,High / Medium,3,2,65,62,68,80,70,80,68,59,71,52,65,73,70,66,80,85,85,74,77,82,80,54,80,59,70,63,70,67,59,15,16,9,9,7
1,Dani Pacheco,Spain,,,Getafe,LM,20.0,7/12/2014,2017.0,74,168 cm,65 kg,Right,1/5/1991,26,LM,High / Low,3,3,82,80,26,23,28,48,70,61,33,72,61,63,74,71,78,75,75,58,90,88,78,47,59,69,68,83,80,69,62,13,12,10,8,12
2,Daniel Díaz,Argentina,,,Getafe,RCB,6.0,8/1/2016,2017.0,74,183 cm,77 kg,Right,7/13/1979,37,CB/RB,Low / High,3,2,52,42,78,64,77,90,63,45,74,43,84,59,58,59,41,33,34,82,59,46,71,76,83,30,55,61,69,67,48,15,6,9,7,11
3,Guaita,Spain,,,Getafe,Sub,13.0,7/31/2014,2018.0,73,190 cm,81 kg,Right,2/18/1987,30,GK,Medium / Medium,3,1,24,16,10,17,15,24,68,13,27,45,30,35,39,33,51,52,52,62,48,63,68,20,45,11,25,32,20,29,25,71,72,73,74,75
4,Alberto,Spain,,,Getafe,GK,1.0,7/15/2016,2018.0,73,182 cm,73 kg,Right,2/9/1985,32,GK,Medium / Medium,3,1,30,12,11,10,11,34,68,13,20,31,36,25,29,27,62,63,59,60,66,66,75,14,37,15,31,22,20,21,29,70,77,69,70,72
5,Mehdi Lacen,Algeria,,,Getafe,LDM,8.0,7/1/2011,2017.0,73,176 cm,70 kg,Left,3/15/1984,33,CDM/CM,Medium / High,3,2,72,70,70,59,69,80,69,59,67,68,68,59,80,76,59,59,81,69,80,76,76,59,70,49,64,80,70,59,58,12,16,11,7,13
6,Jorge Molina,Spain,,,Getafe,ST,19.0,7/1/2016,2018.0,73,188 cm,77 kg,Right,4/22/1982,34,ST/CF,Medium / Medium,4,2,72,56,30,19,32,76,74,82,41,69,73,49,61,44,33,33,71,91,34,39,54,82,83,77,66,55,59,80,74,13,6,8,14,14
7,Nicolás Gorosito,Argentina,,,Getafe,Sub,17.0,7/1/2016,2017.0,72,186 cm,79 kg,Right,8/17/1988,28,CB,Medium / Medium,3,2,61,49,72,74,71,81,59,55,66,54,69,58,67,62,67,71,78,77,52,59,76,74,66,45,48,45,58,53,41,10,5,11,12,12
8,Portillo,Spain,,,Getafe,CAM,12.0,7/1/2015,2018.0,72,169 cm,63 kg,Right,6/13/1990,26,CAM/RM/CM,Medium / Medium,3,3,71,74,59,46,49,48,71,69,48,75,67,75,72,69,73,68,58,58,86,80,59,59,59,64,68,75,56,49,59,16,14,8,15,11
9,Juan Cala,Spain,,,Getafe,LCB,16.0,7/1/2015,2018.0,72,187 cm,76 kg,Right,11/26/1989,27,CB,Medium / High,3,2,63,57,73,71,70,73,67,36,75,47,59,59,72,69,59,66,66,68,59,67,80,70,70,46,59,67,37,46,47,15,15,14,8,10
10,Molinero,Spain,,,Getafe,LB,15.0,7/1/2016,2018.0,72,175 cm,64 kg,Right,7/26/1985,31,LB/RB,Medium / Medium,2,2,68,59,69,73,65,80,72,59,67,59,66,73,70,59,77,79,80,69,74,80,78,59,69,45,59,66,40,49,54,13,8,10,10,13
11,Alejandro Faurlín,Argentina,,,Getafe,RDM,4.0,8/8/2016,2017.0,72,185 cm,76 kg,Left,8/9/1986,30,CDM/CM,Medium / Medium,2,3,70,59,59,70,69,80,80,54,67,75,80,62,77,77,47,50,59,80,56,58,73,71,66,54,65,63,67,49,60,11,6,10,12,15
12,Álvaro Jiménez,Spain,,,Getafe,RM,23.0,7/1/2014,2018.0,71,176 cm,62 kg,Right,5/19/1995,21,RM,High / Medium,3,3,72,77,50,32,39,57,59,69,48,67,49,74,61,50,83,81,71,59,73,69,58,48,75,60,66,74,49,49,69,7,7,10,12,5
13,Paul Anton,Romania,,,Getafe,Sub,5.0,9/7/2015,2018.0,71,182 cm,75 kg,Right,5/10/1991,25,CDM/CM,Medium / High,3,2,72,49,72,59,64,73,71,49,70,59,69,59,69,80,59,59,75,67,59,62,59,64,69,49,68,70,59,49,49,11,8,9,14,8
14,Stefan Šćepović,Serbia,,,Getafe,Sub,10.0,7/1/2016,2020.0,71,186 cm,75 kg,Right,1/10/1990,27,ST/CF,High / Medium,2,3,71,59,24,38,34,43,77,74,33,58,57,43,68,41,64,54,60,76,52,61,73,74,70,73,67,59,67,82,69,8,8,15,15,13
15,Facundo Castillón,Argentina,,,Getafe,Sub,18.0,8/8/2014,2018.0,70,173 cm,71 kg,Right,8/21/1985,31,RM/RW/LW,High / Low,3,3,74,71,26,21,25,33,66,67,20,65,65,59,64,56,85,84,77,59,77,86,74,58,70,63,70,62,57,67,59,9,14,8,11,7
16,David Fuster,Spain,,,Getafe,Sub,14.0,7/4/2016,2017.0,70,178 cm,71 kg,Right,2/3/1982,35,CAM/CDM/LM,High / Low,5,3,70,69,41,48,56,59,70,71,57,73,80,59,70,67,67,63,57,64,70,59,59,59,65,59,68,81,67,80,62,10,9,6,7,14
17,Mora,Spain,,,Getafe,Sub,25.0,1/3/2017,2017.0,70,182 cm,77 kg,Right,8/30/1979,37,CDM/CM,Medium / Medium,3,2,68,54,60,58,69,80,63,56,60,75,84,67,79,82,53,50,63,71,58,66,35,36,74,56,72,83,80,71,49,10,15,15,13,7
18,Chuli,Spain,,,Getafe,Sub,11.0,7/9/2015,2020.0,68,177 cm,73 kg,Left,1/25/1991,26,ST/RM,High / Low,3,2,70,70,28,22,21,43,65,71,40,57,67,66,59,58,76,84,63,68,70,81,67,59,70,66,56,59,43,67,54,8,7,12,11,15
19,Peña,Spain,,,Getafe,Sub,2.0,12/23/2016,2017.0,68,181 cm,76 kg,Left,7/28/1983,33,LB/LWB,Medium / Medium,3,2,70,58,70,72,70,61,66,49,59,49,49,59,65,70,66,67,82,71,63,70,66,59,57,38,35,64,57,38,38,14,6,15,15,13
20,Emiliano Buendía,Argentina,,,Getafe,Sub,7.0,7/1/2014,2021.0,68,170 cm,65 kg,Right,12/25/1996,20,LM/CAM/RB,Medium / Medium,3,2,66,66,66,49,59,59,59,62,59,63,49,70,74,72,72,71,58,58,75,73,49,66,48,64,64,72,58,49,49,7,11,13,10,9
21,Kaan Baysal,Turkey,,,Getafe,Sub,26.0,12/16/2016,2018.0,65,177 cm,69 kg,Right,1/19/1996,21,CM/LM,Medium / Medium,5,2,70,70,46,49,53,58,54,59,47,65,49,59,70,64,68,65,67,48,75,70,59,54,65,48,59,61,65,70,47,16,13,7,15,8
22,Luis Acosta,Spain,,,Getafe,Res,32.0,7/4/2016,2017.0,64,178 cm,69 kg,Right,7/13/1994,22,CB/LB,Medium / Medium,3,2,54,34,65,60,70,59,58,46,65,44,58,48,60,51,64,61,60,58,66,59,70,59,49,32,39,49,33,47,36,12,9,13,9,9
23,Miguel Ángel,Spain,,,Getafe,Sub,27.0,7/1/2014,2017.0,64,177 cm,72 kg,Right,1/26/1995,22,RB,Medium / Medium,3,2,54,41,59,67,68,47,60,48,61,39,31,70,52,41,69,67,68,55,71,51,63,48,22,27,22,26,27,38,21,9,10,11,11,11
24,Calderón,Spain,,,Getafe,Res,28.0,8/15/2016,2017.0,63,182 cm,69 kg,Right,4/14/1995,21,RW/RM,Medium / Medium,3,3,62,72,20,29,32,29,55,53,19,55,52,67,60,60,71,72,46,44,60,70,52,36,60,60,59,46,53,58,42,9,6,12,14,13
25,Jesús González,Spain,,,Getafe,Res,37.0,7/1/2016,2017.0,62,177 cm,67 kg,Right,1/7/1994,23,CB,Medium / Medium,3,2,46,39,62,60,60,70,59,39,62,36,54,42,58,59,63,62,61,58,70,62,70,59,46,31,36,48,42,39,30,11,13,8,9,5
26,Gustavo,Ecuador,,,Getafe,Res,38.0,7/1/2015,2018.0,61,174 cm,65 kg,Right,4/6/1997,19,CM,Medium / Medium,3,3,66,49,59,49,55,56,63,49,54,62,62,49,65,59,63,61,70,70,70,62,58,59,49,47,49,39,39,39,45,9,7,6,11,9
27,David Gil,Spain,,,Getafe,Res,35.0,7/7/2015,2017.0,60,183 cm,82 kg,Left,1/11/1994,23,GK,Medium / Medium,2,1,30,29,18,19,15,25,48,12,25,22,30,31,27,17,48,46,41,66,55,32,54,18,39,14,31,32,20,22,30,57,62,64,60,63
