,player_num,player_name,team
0,13,I Herrern,Athletic Club
1,21,Capa,Athletic Club
2,5,Yeray,Athletic Club
3,4,I rtnez,Athletic Club
4,17,Yuri,Athletic Club
5,14,D Garcia,Athletic Club
6,8,U Lpez,Athletic Club
7,9,I lliams,Athletic Club
8,10,Muniain,Athletic Club
9,19,I Gomez,Athletic Club
10,22,R rca,Athletic Club
11,15,Lekue,Athletic Club
12,25,Villalibre,Athletic Club
13,13,Ruben,Celta Vigo
14,20,Kevin,Celta Vigo
15,21,Murillo,Celta Vigo
16,4,Araujo,Celta Vigo
17,15,Olaza,Celta Vigo
18,12,Rafinha,Celta Vigo
19,5,Yokuşlu,Celta Vigo
20,8,F Beltran,Celta Vigo
21,22,S Mina,Celta Vigo
22,10,I Aspas,Celta Vigo
23,23,B Mndez,Celta Vigo
24,18,Aidoo,Celta Vigo
25,6,Suárez,Celta Vigo
26,24,P Cheikh,Celta Vigo
