,player_num,player_name,team
0,1,U Simn,Athletic Club
1,21,Capa,Athletic Club
2,5,Yeray,Athletic Club
3,4,I rtnez,Athletic Club
4,17,Yuri,Athletic Club
5,14,D Garcia,Athletic Club
6,8,U Lpez,Athletic Club
7,10,Muniain,Athletic Club
8,22,R rca,Athletic Club
9,19,I Gomez,Athletic Club
10,9,I lliams,Athletic Club
11,15,Lekue,Athletic Club
12,7,Beñat,Athletic Club
13,20,Aduriz,Athletic Club
14,1,Pacheco,Deportivo Alaves
15,23,Ximo,Deportivo Alaves
16,5,Laguardia,Deportivo Alaves
17,4,R Ely,Deportivo Alaves
18,3,R arte,Deportivo Alaves
19,8,Pina,Deportivo Alaves
20,18,Aleix,Deportivo Alaves
21,19,M Garca,Deportivo Alaves
22,22,Wakaso,Deportivo Alaves
23,11,L Rioja,Deportivo Alaves
24,9,Joselu,Deportivo Alaves
25,21,Martín,Deportivo Alaves
26,20,P Pons,Deportivo Alaves
27,7,Lucas,Deportivo Alaves
