,player_num,player_name,team
0,1,U Simn,Athletic Club
1,21,Capa,Athletic Club
2,5,Yeray,Athletic Club
3,4,I rtnez,Athletic Club
4,17,Yuri,Athletic Club
5,8,U Lpez,Athletic Club
6,14,D Garcia,Athletic Club
7,9,I lliams,Athletic Club
8,34,O Sancet,Athletic Club
9,10,Muniain,Athletic Club
10,22,R rca,Athletic Club
11,11,Córdoba,Athletic Club
12,16,M Vesga,Athletic Club
13,18,D Marcos,Athletic Club
14,23,Kodro,Athletic Club
15,25,Villalibre,Athletic Club
16,1,Reina,Mallorca
17,24,Valjent,Mallorca
18,21,A Raillo,Mallorca
19,20,Sedlar,Mallorca
20,7,Pozo,Mallorca
21,8,S Sevilla,Mallorca
22,12,Baba,Mallorca
23,14,D Rodrguez,Mallorca
24,11,Lago Jr,Mallorca
25,26,Kubo,Mallorca
26,29,Hernández,Mallorca
27,9,Abdón,Mallorca
28,15,F Gmez,Mallorca
29,17,Trajkovski,Mallorca
30,22,Budimir,Mallorca
