,player_num,player_name,team
0,1,U Simn,Athletic Club
1,21,Capa,Athletic Club
2,3,Núñez,Athletic Club
3,4,I rtnez,Athletic Club
4,17,Yuri,Athletic Club
5,8,U Lpez,Athletic Club
6,14,D Garcia,Athletic Club
7,22,R rca,Athletic Club
8,10,Muniain,Athletic Club
9,11,Córdoba,Athletic Club
10,9,I lliams,Athletic Club
11,16,M Vesga,Athletic Club
12,18,D Marcos,Athletic Club
13,24,Balenziaga,Athletic Club
14,25,Villalibre,Athletic Club
15,34,O Sancet,Athletic Club
16,1,Robles,Real Betis
17,22,E Royal,Real Betis
18,23,Mandi,Real Betis
19,5,Bartra,Real Betis
20,6,Pedraza,Real Betis
21,18,Guardado,Real Betis
22,21,Rodríguez,Real Betis
23,10,Canales,Real Betis
24,20,Lainez,Real Betis
25,9,B Iglesias,Real Betis
26,8,Fekir,Real Betis
27,7,Juanmi,Real Betis
28,11,Tello,Real Betis
29,15,l reno,Real Betis
30,16,L Morn,Real Betis
31,24,Aleñá,Real Betis
