,player_num,player_name,team
0,13,Oblak,Atletico Madrid
1,24,Vrsaljko,Atletico Madrid
2,15,Savić,Atletico Madrid
3,22,Hermoso,Atletico Madrid
4,12,R Lodi,Atletico Madrid
5,14,Llorente,Atletico Madrid
6,5,Partey,Atletico Madrid
7,8,Sal guez,Atletico Madrid
8,6,Koke,Atletico Madrid
9,10,Correa,Atletico Madrid
10,20,Vitolo,Atletico Madrid
11,11,Lemar,Atletico Madrid
12,38,Moya,Atletico Madrid
13,21,Carrasco,Atletico Madrid
14,13,A candell,Granada CF
15,2,Foulquier,Granada CF
16,22,D Duarte,Granada CF
17,5,J rtnez,Granada CF
18,16,Vctor Daz,Granada CF
19,21,Herrera,Granada CF
20,8,Eteki,Granada CF
21,7,Vadillo,Granada CF
22,12,Azeez,Granada CF
23,11,Köybasi,Granada CF
24,9,Soldado,Granada CF
25,10,A Puertas,Granada CF
26,17,G Dias,Granada CF
27,24,C Fernndez,Granada CF
