,player_num,player_name,team
0,13,Oblak,Atletico Madrid
1,23,Trippier,Atletico Madrid
2,18,Felipe,Atletico Madrid
3,2,Gimenez,Atletico Madrid
4,35,M Snchez,Atletico Madrid
5,6,Koke,Atletico Madrid
6,5,Partey,Atletico Madrid
7,8,Sal guez,Atletico Madrid
8,11,Lemar,Atletico Madrid
9,7,Joo Flix,Atletico Madrid
10,9,Morata,Atletico Madrid
11,10,Correa,Atletico Madrid
12,16,Herrera,Atletico Madrid
13,22,Hermoso,Atletico Madrid
14,1,S Herrera,Osasuna
15,12,Roncaglia,Osasuna
16,3,Navas,Osasuna
17,5,D Garca,Osasuna
18,30,Estupiñán,Osasuna
19,10,R Torres,Osasuna
20,8,F Mrida,Osasuna
21,6,Oier,Osasuna
22,20,Brašanac,Osasuna
23,14,R rca,Osasuna
24,9,Ávila,Osasuna
25,17,R Ibaez,Osasuna
26,21,Pérez,Osasuna
27,22,Adrián,Osasuna
