,player_num,player_name,team
0,13,Oblak,Atletico Madrid
1,23,Trippier,Atletico Madrid
2,15,Savić,Atletico Madrid
3,18,Felipe,Atletico Madrid
4,22,Hermoso,Atletico Madrid
5,10,Correa,Atletico Madrid
6,8,Sal guez,Atletico Madrid
7,14,Llorente,Atletico Madrid
8,6,Koke,Atletico Madrid
9,9,Morata,Atletico Madrid
10,7,Joo Flix,Atletico Madrid
11,19,D Costa,Atletico Madrid
12,20,Vitolo,Atletico Madrid
13,21,Carrasco,Atletico Madrid
14,1,Vaclík,Sevilla
15,16,J Navas,Sevilla
16,12,Koundé,Sevilla
17,20,D Carlos,Sevilla
18,23,Reguilón,Sevilla
19,24,J Jordn,Sevilla
20,17,Gudelj,Sevilla
21,10,Banega,Sevilla
22,14,Suso,Sevilla
23,19,d Jong,Sevilla
24,5,Ocampos,Sevilla
25,3,S Gmez,Sevilla
26,22,Vázquez,Sevilla
27,15,En-Nesyri,Sevilla
