,player_num,player_name,team
0,13,Oblak,Atletico Madrid
1,4,Arias,Atletico Madrid
2,2,Gimenez,Atletico Madrid
3,18,Felipe,Atletico Madrid
4,22,Hermoso,Atletico Madrid
5,7,Joo Flix,Atletico Madrid
6,6,Koke,Atletico Madrid
7,5,Partey,Atletico Madrid
8,8,Sal guez,Atletico Madrid
9,9,Morata,Atletico Madrid
10,19,D Costa,Atletico Madrid
11,11,Lemar,Atletico Madrid
12,12,R Lodi,Atletico Madrid
13,14,Llorente,Atletico Madrid
14,13,Cillessen,Valencia
15,18,Wass,Valencia
16,24,Garay,Valencia
17,5,G Paulista,Valencia
18,3,J Costa,Valencia
19,17,Coquelin,Valencia
20,10,Parejo,Valencia
21,6,Kondogbia,Valencia
22,20,F rres,Valencia
23,22,Gómez,Valencia
24,11,Cheryshev,Valencia
25,8,Soler,Valencia
26,9,Gameiro,Valencia
27,16,Lee KI,Valencia
