,player_num,player_name,team
0,1,t Stegen,Barcelona
1,20,S Roberto,Barcelona
2,3,Piqué,Barcelona
3,15,Lenglet,Barcelona
4,24,Junior,Barcelona
5,4,Rakitić,Barcelona
6,5,Busquets,Barcelona
7,8,Arthur,Barcelona
8,10,Messi,Barcelona
9,17,Griezmann,Barcelona
10,31,Fati,Barcelona
11,2,N medo,Barcelona
12,23,Umtiti,Barcelona
13,22,Vidal,Barcelona
14,28,Puig,Barcelona
15,9,Suárez,Barcelona
16,1,Cuéllar,Leganés
17,19,A Ruibal,Leganés
18,12,Awaziem,Leganés
19,15,Tarín,Leganés
20,3,U Bustinza,Leganés
21,5,Silva,Leganés
22,6,R Mesa,Leganés
23,21,Rubn Prez,Leganés
24,8,Recio,Leganés
25,17,Eraso,Leganés
26,9,Guerrero,Leganés
27,24,Rodrigues,Leganés
28,23,Amadou,Leganés
29,18,Carrillo,Leganés
30,20,Assalé,Leganés
31,26,B Gil,Leganés
