,player_num,player_name,team
0,1,t Stegen,Barcelona
1,2,N medo,Barcelona
2,3,Piqué,Barcelona
3,15,Lenglet,Barcelona
4,24,Junior,Barcelona
5,20,S Roberto,Barcelona
6,4,Rakitić,Barcelona
7,28,Puig,Barcelona
8,10,Messi,Barcelona
9,19,Braithwaite,Barcelona
10,31,Fati,Barcelona
11,5,Busquets,Barcelona
12,9,Suárez,Barcelona
13,18,J Alba,Barcelona
14,21,d Jong,Barcelona
15,22,Vidal,Barcelona
16,1,S Herrera,Osasuna
17,2,N Vidal,Osasuna
18,23,Aridane,Osasuna
19,3,Navas,Osasuna
20,5,D Garca,Osasuna
21,30,Estupiñán,Osasuna
22,20,Brašanac,Osasuna
23,27,Moncayola,Osasuna
24,21,Pérez,Osasuna
25,16,J niz,Osasuna
26,22,Adrián,Osasuna
27,6,Oier,Osasuna
28,10,R Torres,Osasuna
29,11,E Gallego,Osasuna
30,15,T Lato,Osasuna
31,19,K Barja,Osasuna
