,player_num,player_name,team
0,1,t Stegen,Barcelona
1,2,N medo,Barcelona
2,3,Piqué,Barcelona
3,15,Lenglet,Barcelona
4,18,J Alba,Barcelona
5,20,S Roberto,Barcelona
6,5,Busquets,Barcelona
7,21,d Jong,Barcelona
8,27,C Prez,Barcelona
9,17,Griezmann,Barcelona
10,12,Rafinha,Barcelona
11,24,Junior,Barcelona
12,22,Vidal,Barcelona
13,31,Fati,Barcelona
14,13,D Martn,Real Betis
15,22,E Royal,Real Betis
16,5,Bartra,Real Betis
17,12,Sidnei,Real Betis
18,6,Pedraza,Real Betis
19,10,Canales,Real Betis
20,18,Guardado,Real Betis
21,14,W Carvalho,Real Betis
22,11,Tello,Real Betis
23,16,L Morn,Real Betis
24,8,Fekir,Real Betis
25,21,Kaptoum,Real Betis
26,17,Joaquín,Real Betis
27,20,Lainez,Real Betis
