,player_num,player_name,team
0,1,t Stegen,Barcelona
1,2,N medo,Barcelona
2,3,Piqué,Barcelona
3,15,Lenglet,Barcelona
4,18,J Alba,Barcelona
5,20,S Roberto,Barcelona
6,4,Rakitić,Barcelona
7,21,d Jong,Barcelona
8,10,Messi,Barcelona
9,9,Suárez,Barcelona
10,17,Griezmann,Barcelona
11,22,Vidal,Barcelona
12,31,Fati,Barcelona
13,13,Courtois,Real Madrid
14,2,Carvajal,Real Madrid
15,5,Varane,Real Madrid
16,4,Ramos,Real Madrid
17,23,Mendy,Real Madrid
18,15,Valverde,Real Madrid
19,14,Casemiro,Real Madrid
20,8,Kroos,Real Madrid
21,22,Isco,Real Madrid
22,11,Bale,Real Madrid
23,9,Benzema,Real Madrid
24,10,Modrić,Real Madrid
25,27,Rodrygo,Real Madrid
