,player_num,player_name,team
0,1,t Stegen,Barcelona
1,2,N medo,Barcelona
2,3,Piqué,Barcelona
3,15,Lenglet,Barcelona
4,18,J Alba,Barcelona
5,4,Rakitić,Barcelona
6,5,Busquets,Barcelona
7,21,d Jong,Barcelona
8,17,Griezmann,Barcelona
9,10,Messi,Barcelona
10,19,Braithwaite,Barcelona
11,24,Junior,Barcelona
12,22,Vidal,Barcelona
13,31,Fati,Barcelona
14,1,Remiro,Real Sociedad
15,18,A Gorosabel,Real Sociedad
16,3,Llorente,Real Sociedad
17,24,L Normand,Real Sociedad
18,20,Monreal,Real Sociedad
19,16,A Guevara,Real Sociedad
20,8,Merino,Real Sociedad
21,7,Portu,Real Sociedad
22,21,Ødegaard,Real Sociedad
23,22,A Barrenetxea,Real Sociedad
24,19,Isak,Real Sociedad
25,5,I Zubelda,Real Sociedad
26,9,W Jos,Real Sociedad
27,10,Oyarzabal,Real Sociedad
