,player_num,player_name,team
0,1,t Stegen,Barcelona
1,2,N medo,Barcelona
2,3,Piqué,Barcelona
3,15,Lenglet,Barcelona
4,18,J Alba,Barcelona
5,21,d Jong,Barcelona
6,5,Busquets,Barcelona
7,8,Arthur,Barcelona
8,27,C Prez,Barcelona
9,17,Griezmann,Barcelona
10,31,Fati,Barcelona
11,4,Rakitić,Barcelona
12,22,Vidal,Barcelona
13,9,Suárez,Barcelona
14,13,Cillessen,Valencia
15,18,Wass,Valencia
16,24,Garay,Valencia
17,5,G Paulista,Valencia
18,14,Gayá,Valencia
19,20,F rres,Valencia
20,17,Coquelin,Valencia
21,10,Parejo,Valencia
22,7,G edes,Valencia
23,9,Gameiro,Valencia
24,19,Rodrigo,Valencia
25,16,Lee KI,Valencia
26,11,Cheryshev,Valencia
27,22,Gómez,Valencia
