,player_num,player_name,team
0,1,t Stegen,Barcelona
1,2,N medo,Barcelona
2,3,Piqué,Barcelona
3,15,Lenglet,Barcelona
4,24,Junior,Barcelona
5,20,S Roberto,Barcelona
6,5,Busquets,Barcelona
7,8,Arthur,Barcelona
8,10,Messi,Barcelona
9,9,Suárez,Barcelona
10,17,Griezmann,Barcelona
11,21,d Jong,Barcelona
12,11,Dembèlé,Barcelona
13,31,Fati,Barcelona
14,1,Asenjo,Villarreal
15,20,R Pea,Villarreal
16,3,Albiol,Villarreal
17,4,P Torres,Villarreal
18,16,X Quintill,Villarreal
19,19,Z Anguissa,Villarreal
20,10,Iborra,Villarreal
21,11,Chukwueze,Villarreal
22,8,S Cazorla,Villarreal
23,24,J Ontiveros,Villarreal
24,7,G Moreno,Villarreal
25,9,Bacca,Villarreal
26,17,T Ekambi,Villarreal
27,23,M Gmez,Villarreal
