,player_num,player_name,team
0,13,Ruben,Celta Vigo
1,18,Aidoo,Celta Vigo
2,4,Araujo,Celta Vigo
3,16,J Saenz,Celta Vigo
4,20,Kevin,Celta Vigo
5,23,B Mndez,Celta Vigo
6,5,Yokuşlu,Celta Vigo
7,6,Suárez,Celta Vigo
8,29,Jacobo,Celta Vigo
9,10,I Aspas,Celta Vigo
10,9,Smolov,Celta Vigo
11,3,Nolito,Celta Vigo
12,12,Rafinha,Celta Vigo
13,14,Bradarić,Celta Vigo
14,21,Murillo,Celta Vigo
15,22,S Mina,Celta Vigo
16,1,t Stegen,Barcelona
17,2,N medo,Barcelona
18,3,Piqué,Barcelona
19,23,Umtiti,Barcelona
20,18,J Alba,Barcelona
21,22,Vidal,Barcelona
22,4,Rakitić,Barcelona
23,28,Puig,Barcelona
24,10,Messi,Barcelona
25,9,Suárez,Barcelona
26,31,Fati,Barcelona
27,8,Arthur,Barcelona
28,17,Griezmann,Barcelona
29,19,Braithwaite,Barcelona
30,24,Junior,Barcelona
