,player_num,player_name,team
0,13,Ruben,Celta Vigo
1,20,Kevin,Celta Vigo
2,21,Murillo,Celta Vigo
3,4,Araujo,Celta Vigo
4,15,Olaza,Celta Vigo
5,5,Yokuşlu,Celta Vigo
6,22,S Mina,Celta Vigo
7,12,Rafinha,Celta Vigo
8,8,F Beltran,Celta Vigo
9,11,Sisto,Celta Vigo
10,10,I Aspas,Celta Vigo
11,2,H Mallo,Celta Vigo
12,6,Suárez,Celta Vigo
13,19,Fernández,Celta Vigo
14,1,Dmitrović,Eibar
15,24,Tejero,Eibar
16,2,Burgos,Eibar
17,3,Bigas,Eibar
18,15,J gel,Eibar
19,6,Alvarez,Eibar
20,10,E Expsito,Eibar
21,21,P Len,Eibar
22,14,Orellana,Eibar
23,22,Inui,Eibar
24,9,Enrich,Eibar
25,8,Diop,Eibar
26,18,Cristóforo,Eibar
27,16,D Blasis,Eibar
