,player_num,player_name,team
0,13,Ruben,Celta Vigo
1,2,H Mallo,Celta Vigo
2,18,Aidoo,Celta Vigo
3,4,Araujo,Celta Vigo
4,15,Olaza,Celta Vigo
5,12,Rafinha,Celta Vigo
6,14,Lobotka,Celta Vigo
7,8,F Beltran,Celta Vigo
8,6,Suárez,Celta Vigo
9,22,S Mina,Celta Vigo
10,10,I Aspas,Celta Vigo
11,23,B Mndez,Celta Vigo
12,11,Sisto,Celta Vigo
13,19,Fernández,Celta Vigo
14,13,López,Espanyol de Barcelona
15,16,J Lpez,Espanyol de Barcelona
16,5,Naldo,Espanyol de Barcelona
17,24,Calero,Espanyol de Barcelona
18,17,Dídac,Espanyol de Barcelona
19,7,W Lei,Espanyol de Barcelona
20,21,M Roca,Espanyol de Barcelona
21,4,V chez,Espanyol de Barcelona
22,3,A drosa,Espanyol de Barcelona
23,12,Calleri,Espanyol de Barcelona
24,22,Vargas,Espanyol de Barcelona
25,2,Pipa,Espanyol de Barcelona
26,15,D Lpez,Espanyol de Barcelona
27,10,S Darder,Espanyol de Barcelona
