,player_num,player_name,team
0,13,Ruben,Celta Vigo
1,2,H Mallo,Celta Vigo
2,18,Aidoo,Celta Vigo
3,4,Araujo,Celta Vigo
4,15,Olaza,Celta Vigo
5,23,B Mndez,Celta Vigo
6,14,Lobotka,Celta Vigo
7,8,F Beltran,Celta Vigo
8,6,Suárez,Celta Vigo
9,10,I Aspas,Celta Vigo
10,19,Fernández,Celta Vigo
11,11,Sisto,Celta Vigo
12,24,P Cheikh,Celta Vigo
13,36,I Losada,Celta Vigo
14,13,D Soria,Getafe
15,12,Nyom,Getafe
16,2,Djene,Getafe
17,16,Etxeita,Getafe
18,15,Cucurella,Getafe
19,8,Portillo,Getafe
20,18,Arambarri,Getafe
21,24,Timor,Getafe
22,25,Kenedy,Getafe
23,19,J Molina,Getafe
24,10,E Gallego,Getafe
25,9,Angel,Getafe
26,17,Olivera,Getafe
27,20,Maksimović,Getafe
