,player_num,player_name,team
0,13,Ruben,Celta Vigo
1,2,H Mallo,Celta Vigo
2,18,Aidoo,Celta Vigo
3,16,J Saenz,Celta Vigo
4,15,Olaza,Celta Vigo
5,23,B Mndez,Celta Vigo
6,8,F Beltran,Celta Vigo
7,14,Lobotka,Celta Vigo
8,6,Suárez,Celta Vigo
9,10,I Aspas,Celta Vigo
10,22,S Mina,Celta Vigo
11,4,Araujo,Celta Vigo
12,24,P Cheikh,Celta Vigo
13,11,Sisto,Celta Vigo
14,1,R Silva,Granada CF
15,16,Vctor Daz,Granada CF
16,22,D Duarte,Granada CF
17,6,G chez,Granada CF
18,17,Quini,Granada CF
19,21,Herrera,Granada CF
20,19,Montoro,Granada CF
21,10,A Puertas,Granada CF
22,14,F Vico,Granada CF
23,23,Machís,Granada CF
24,9,Soldado,Granada CF
25,12,Azeez,Granada CF
26,7,Vadillo,Granada CF
27,24,C Fernndez,Granada CF
