,player_num,player_name,team
0,13,Ruben,Celta Vigo
1,2,H Mallo,Celta Vigo
2,21,Murillo,Celta Vigo
3,4,Araujo,Celta Vigo
4,15,Olaza,Celta Vigo
5,12,Rafinha,Celta Vigo
6,5,Yokuşlu,Celta Vigo
7,14,Bradarić,Celta Vigo
8,6,Suárez,Celta Vigo
9,10,I Aspas,Celta Vigo
10,9,Smolov,Celta Vigo
11,18,Aidoo,Celta Vigo
12,8,F Beltran,Celta Vigo
13,22,S Mina,Celta Vigo
14,13,J Soriano,Leganés
15,12,Awaziem,Leganés
16,4,Omeruo,Leganés
17,22,Siovas,Leganés
18,3,U Bustinza,Leganés
19,21,Rubn Prez,Leganés
20,8,Recio,Leganés
21,5,Silva,Leganés
22,17,Eraso,Leganés
23,24,Rodrigues,Leganés
24,18,Carrillo,Leganés
25,27,s drguez,Leganés
26,20,Assalé,Leganés
27,26,B Gil,Leganés
