,player_num,player_name,team
0,13,Ruben,Celta Vigo
1,20,Kevin,Celta Vigo
2,21,Murillo,Celta Vigo
3,4,Araujo,Celta Vigo
4,15,Olaza,Celta Vigo
5,5,Yokuşlu,Celta Vigo
6,10,I Aspas,Celta Vigo
7,8,F Beltran,Celta Vigo
8,12,Rafinha,Celta Vigo
9,3,Nolito,Celta Vigo
10,9,Smolov,Celta Vigo
11,2,H Mallo,Celta Vigo
12,14,Bradarić,Celta Vigo
13,19,Fernández,Celta Vigo
14,22,S Mina,Celta Vigo
15,23,B Mndez,Celta Vigo
16,1,Robles,Real Betis
17,22,E Royal,Real Betis
18,23,Mandi,Real Betis
19,4,Feddal,Real Betis
20,15,l reno,Real Betis
21,21,Rodríguez,Real Betis
22,18,Guardado,Real Betis
23,24,Aleñá,Real Betis
24,10,Canales,Real Betis
25,7,Juanmi,Real Betis
26,16,L Morn,Real Betis
27,6,Pedraza,Real Betis
28,9,B Iglesias,Real Betis
29,11,Tello,Real Betis
30,17,Joaquín,Real Betis
