,player_num,player_name,team
0,1,S lvarez,Celta Vigo
1,2,H Mallo,Celta Vigo
2,18,Aidoo,Celta Vigo
3,4,Araujo,Celta Vigo
4,15,Olaza,Celta Vigo
5,24,P Cheikh,Celta Vigo
6,14,Lobotka,Celta Vigo
7,6,Suárez,Celta Vigo
8,22,S Mina,Celta Vigo
9,10,I Aspas,Celta Vigo
10,11,Sisto,Celta Vigo
11,8,F Beltran,Celta Vigo
12,12,Rafinha,Celta Vigo
13,19,Fernández,Celta Vigo
14,1,J Masip,Real Valladolid
15,17,J Moyano,Real Valladolid
16,4,Kiko,Real Valladolid
17,27,Salisu,Real Valladolid
18,22,Nacho,Real Valladolid
19,11,Hervías,Real Valladolid
20,24,Joaquin,Real Valladolid
21,21,Míchel,Real Valladolid
22,10,O Plano,Real Valladolid
23,20,S Ramirez,Real Valladolid
24,7,S Guardiola,Real Valladolid
25,2,P Porro,Real Valladolid
26,14,R caraz,Real Valladolid
27,23,W Rubio,Real Valladolid
