,player_num,player_name,team
0,1,Pacheco,Deportivo Alaves
1,21,Martín,Deportivo Alaves
2,4,R Ely,Deportivo Alaves
3,3,R arte,Deportivo Alaves
4,17,Adrin Marn,Deportivo Alaves
5,8,Pina,Deportivo Alaves
6,18,Aleix,Deportivo Alaves
7,19,M Garca,Deportivo Alaves
8,22,Wakaso,Deportivo Alaves
9,11,L Rioja,Deportivo Alaves
10,7,Lucas,Deportivo Alaves
11,20,P Pons,Deportivo Alaves
12,29,B Sainz,Deportivo Alaves
13,9,Joselu,Deportivo Alaves
14,13,López,Espanyol de Barcelona
15,18,Corchia,Espanyol de Barcelona
16,5,Naldo,Espanyol de Barcelona
17,24,Calero,Espanyol de Barcelona
18,17,Dídac,Espanyol de Barcelona
19,4,V chez,Espanyol de Barcelona
20,21,M Roca,Espanyol de Barcelona
21,10,S Darder,Espanyol de Barcelona
22,14,s lendo,Espanyol de Barcelona
23,31,V mpuzano,Espanyol de Barcelona
24,22,Vargas,Espanyol de Barcelona
25,16,J Lpez,Espanyol de Barcelona
26,7,W Lei,Espanyol de Barcelona
27,9,Ferreyra,Espanyol de Barcelona
