,player_num,player_name,team
0,13,Roberto,Deportivo Alaves
1,21,Martín,Deportivo Alaves
2,5,Laguardia,Deportivo Alaves
3,4,R Ely,Deportivo Alaves
4,17,Adrin Marn,Deportivo Alaves
5,16,Edgar,Deportivo Alaves
6,8,Pina,Deportivo Alaves
7,19,M Garca,Deportivo Alaves
8,24,Burke,Deportivo Alaves
9,9,Joselu,Deportivo Alaves
10,7,Lucas,Deportivo Alaves
11,10,V marasa,Deportivo Alaves
12,27,Tachi,Deportivo Alaves
13,29,B Sainz,Deportivo Alaves
14,32,Paulino,Deportivo Alaves
15,13,D Soria,Getafe
16,4,Cabaco,Getafe
17,2,Djene,Getafe
18,24,Timor,Getafe
19,17,Olivera,Getafe
20,23,Jason,Getafe
21,18,Arambarri,Getafe
22,20,Maksimović,Getafe
23,15,Cucurella,Getafe
24,19,J Molina,Getafe
25,7,J Mata,Getafe
26,11,Amath,Getafe
27,21,Fajr,Getafe
28,26,H Duro,Getafe
29,28,Poulolo,Getafe
