,player_num,player_name,team
0,1,Pacheco,Deportivo Alaves
1,23,Ximo,Deportivo Alaves
2,5,Laguardia,Deportivo Alaves
3,4,R Ely,Deportivo Alaves
4,3,R arte,Deportivo Alaves
5,18,Aleix,Deportivo Alaves
6,19,M Garca,Deportivo Alaves
7,22,Wakaso,Deportivo Alaves
8,11,L Rioja,Deportivo Alaves
9,7,Lucas,Deportivo Alaves
10,9,Joselu,Deportivo Alaves
11,21,Martín,Deportivo Alaves
12,20,P Pons,Deportivo Alaves
13,24,Burke,Deportivo Alaves
14,1,Robles,Real Betis
15,22,E Royal,Real Betis
16,23,Mandi,Real Betis
17,4,Feddal,Real Betis
18,15,l reno,Real Betis
19,5,Bartra,Real Betis
20,8,Fekir,Real Betis
21,10,Canales,Real Betis
22,18,Guardado,Real Betis
23,17,Joaquín,Real Betis
24,9,B Iglesias,Real Betis
25,24,Aleñá,Real Betis
26,16,L Morn,Real Betis
27,20,Lainez,Real Betis
