,player_num,player_name,team
0,1,Pacheco,Deportivo Alaves
1,21,Martín,Deportivo Alaves
2,23,Ximo,Deportivo Alaves
3,5,Laguardia,Deportivo Alaves
4,3,R arte,Deportivo Alaves
5,18,Aleix,Deportivo Alaves
6,19,M Garca,Deportivo Alaves
7,8,Pina,Deportivo Alaves
8,11,L Rioja,Deportivo Alaves
9,9,Joselu,Deportivo Alaves
10,7,Lucas,Deportivo Alaves
11,14,Burgui,Deportivo Alaves
12,20,P Pons,Deportivo Alaves
13,24,Burke,Deportivo Alaves
14,1,J Masip,Real Valladolid
15,17,J Moyano,Real Valladolid
16,4,Kiko,Real Valladolid
17,27,Salisu,Real Valladolid
18,3,Barba,Real Valladolid
19,10,O Plano,Real Valladolid
20,14,R caraz,Real Valladolid
21,21,Míchel,Real Valladolid
22,19,T Villa,Real Valladolid
23,7,S Guardiola,Real Valladolid
24,9,Ünal,Real Valladolid
25,2,P Porro,Real Valladolid
26,8,Anuar,Real Valladolid
27,20,S Ramirez,Real Valladolid
