,player_num,player_name,team
0,1,Pacheco,Deportivo Alaves
1,23,Ximo,Deportivo Alaves
2,5,Laguardia,Deportivo Alaves
3,4,R Ely,Deportivo Alaves
4,3,R arte,Deportivo Alaves
5,16,Edgar,Deportivo Alaves
6,15,Fejsa,Deportivo Alaves
7,10,V marasa,Deportivo Alaves
8,11,L Rioja,Deportivo Alaves
9,7,Lucas,Deportivo Alaves
10,9,Joselu,Deportivo Alaves
11,19,M Garca,Deportivo Alaves
12,20,P Pons,Deportivo Alaves
13,29,B Sainz,Deportivo Alaves
14,13,Cillessen,Valencia
15,18,Wass,Valencia
16,5,G Paulista,Valencia
17,12,Diakhaby,Valencia
18,14,Gayá,Valencia
19,6,Kondogbia,Valencia
20,25,Florenzi,Valencia
21,8,Soler,Valencia
22,10,Parejo,Valencia
23,11,Cheryshev,Valencia
24,9,Gameiro,Valencia
25,17,Coquelin,Valencia
26,7,G edes,Valencia
27,19,Rodrigo,Valencia
