,player_num,player_name,team
0,1,Dmitrović,Eibar
1,24,Tejero,Eibar
2,2,Burgos,Eibar
3,3,Bigas,Eibar
4,15,J gel,Eibar
5,10,E Expsito,Eibar
6,6,Alvarez,Eibar
7,21,P Len,Eibar
8,14,Orellana,Eibar
9,22,Inui,Eibar
10,9,Enrich,Eibar
11,16,D Blasis,Eibar
12,18,Cristóforo,Eibar
13,19,Charles,Eibar
14,13,Oblak,Atletico Madrid
15,4,Arias,Atletico Madrid
16,15,Savić,Atletico Madrid
17,18,Felipe,Atletico Madrid
18,8,Sal guez,Atletico Madrid
19,10,Correa,Atletico Madrid
20,5,Partey,Atletico Madrid
21,16,Herrera,Atletico Madrid
22,20,Vitolo,Atletico Madrid
23,7,Joo Flix,Atletico Madrid
24,9,Morata,Atletico Madrid
25,12,R Lodi,Atletico Madrid
26,34,Camello,Atletico Madrid
27,39,C Mues,Atletico Madrid
