,player_num,player_name,team
0,1,Dmitrović,Eibar
1,16,D Blasis,Eibar
2,12,P Oliveira,Eibar
3,23,Arbilla,Eibar
4,15,J gel,Eibar
5,21,P Len,Eibar
6,6,Alvarez,Eibar
7,8,Diop,Eibar
8,14,Orellana,Eibar
9,9,Enrich,Eibar
10,19,Charles,Eibar
11,10,E Expsito,Eibar
12,17,K Garca,Eibar
13,22,Inui,Eibar
14,1,t Stegen,Barcelona
15,20,S Roberto,Barcelona
16,23,Umtiti,Barcelona
17,15,Lenglet,Barcelona
18,18,J Alba,Barcelona
19,21,d Jong,Barcelona
20,5,Busquets,Barcelona
21,8,Arthur,Barcelona
22,10,Messi,Barcelona
23,9,Suárez,Barcelona
24,17,Griezmann,Barcelona
25,2,N medo,Barcelona
26,4,Rakitić,Barcelona
27,22,Vidal,Barcelona
