,player_num,player_name,team
0,1,Dmitrović,Eibar
1,16,D Blasis,Eibar
2,12,P Oliveira,Eibar
3,23,Arbilla,Eibar
4,15,J gel,Eibar
5,5,Escalante,Eibar
6,6,Alvarez,Eibar
7,10,E Expsito,Eibar
8,14,Orellana,Eibar
9,17,K Garca,Eibar
10,22,Inui,Eibar
11,24,Tejero,Eibar
12,21,P Len,Eibar
13,19,Charles,Eibar
14,13,Ruben,Celta Vigo
15,2,H Mallo,Celta Vigo
16,18,Aidoo,Celta Vigo
17,4,Araujo,Celta Vigo
18,15,Olaza,Celta Vigo
19,23,B Mndez,Celta Vigo
20,5,Yokuşlu,Celta Vigo
21,14,Lobotka,Celta Vigo
22,6,Suárez,Celta Vigo
23,22,S Mina,Celta Vigo
24,10,I Aspas,Celta Vigo
25,12,Rafinha,Celta Vigo
26,24,P Cheikh,Celta Vigo
27,19,Fernández,Celta Vigo
