,player_num,player_name,team
0,1,Dmitrović,Eibar
1,16,D Blasis,Eibar
2,12,P Oliveira,Eibar
3,23,Arbilla,Eibar
4,15,J gel,Eibar
5,14,Orellana,Eibar
6,8,Diop,Eibar
7,5,Escalante,Eibar
8,21,P Len,Eibar
9,9,Enrich,Eibar
10,17,K Garca,Eibar
11,3,Bigas,Eibar
12,4,Ramis,Eibar
13,19,Charles,Eibar
14,1,Pacheco,Deportivo Alaves
15,21,Martín,Deportivo Alaves
16,23,Ximo,Deportivo Alaves
17,4,R Ely,Deportivo Alaves
18,3,R arte,Deportivo Alaves
19,22,Wakaso,Deportivo Alaves
20,8,Pina,Deportivo Alaves
21,29,B Sainz,Deportivo Alaves
22,18,Aleix,Deportivo Alaves
23,24,Burke,Deportivo Alaves
24,7,Lucas,Deportivo Alaves
25,6,Magallán,Deportivo Alaves
26,20,P Pons,Deportivo Alaves
27,9,Joselu,Deportivo Alaves
