,player_num,player_name,team
0,1,Dmitrović,Eibar
1,24,Tejero,Eibar
2,4,Ramis,Eibar
3,23,Arbilla,Eibar
4,15,J gel,Eibar
5,14,Orellana,Eibar
6,8,Diop,Eibar
7,10,E Expsito,Eibar
8,22,Inui,Eibar
9,19,Charles,Eibar
10,9,Enrich,Eibar
11,5,Escalante,Eibar
12,6,Alvarez,Eibar
13,7,Q Gonzlez,Eibar
14,13,López,Espanyol de Barcelona
15,16,J Lpez,Espanyol de Barcelona
16,5,Naldo,Espanyol de Barcelona
17,24,Calero,Espanyol de Barcelona
18,17,Dídac,Espanyol de Barcelona
19,14,s lendo,Espanyol de Barcelona
20,4,V chez,Espanyol de Barcelona
21,21,M Roca,Espanyol de Barcelona
22,10,S Darder,Espanyol de Barcelona
23,9,Ferreyra,Espanyol de Barcelona
24,12,Calleri,Espanyol de Barcelona
25,3,A drosa,Espanyol de Barcelona
26,22,Vargas,Espanyol de Barcelona
27,23,Granero,Espanyol de Barcelona
