,player_num,player_name,team
0,1,Dmitrović,Eibar
1,24,Tejero,Eibar
2,3,Bigas,Eibar
3,12,P Oliveira,Eibar
4,15,J gel,Eibar
5,21,P Len,Eibar
6,5,Escalante,Eibar
7,10,E Expsito,Eibar
8,22,Inui,Eibar
9,17,K Garca,Eibar
10,9,Enrich,Eibar
11,7,Q Gonzlez,Eibar
12,8,Diop,Eibar
13,19,Charles,Eibar
14,1,R Silva,Granada CF
15,16,Vctor Daz,Granada CF
16,22,D Duarte,Granada CF
17,5,J rtnez,Granada CF
18,15,Neva,Granada CF
19,4,Gonalons,Granada CF
20,8,Eteki,Granada CF
21,7,Vadillo,Granada CF
22,24,C Fernndez,Granada CF
23,10,A Puertas,Granada CF
24,9,Soldado,Granada CF
25,3,A Martnez,Granada CF
26,20,Ramos,Granada CF
27,23,Machís,Granada CF
