,player_num,player_name,team
0,13,Yoel,Eibar
1,23,Arbilla,Eibar
2,12,P Oliveira,Eibar
3,3,Bigas,Eibar
4,15,J gel,Eibar
5,21,P Len,Eibar
6,8,Diop,Eibar
7,18,Cristóforo,Eibar
8,14,Orellana,Eibar
9,9,Enrich,Eibar
10,19,Charles,Eibar
11,5,Escalante,Eibar
12,16,D Blasis,Eibar
13,17,K Garca,Eibar
14,13,A Fernndez,Levante
15,20,Miramón,Levante
16,15,Postigo,Levante
17,18,Bruno,Levante
18,3,Toño,Levante
19,11,Morales,Levante
20,17,Vukčević,Levante
21,24,Campaña,Levante
22,10,Bardhi,Levante
23,9,Roger,Levante
24,21,B Mayoral,Levante
25,22,Melero,Levante
26,7,S Len,Levante
