,player_num,player_name,team
0,1,Dmitrović,Eibar
1,23,Arbilla,Eibar
2,12,P Oliveira,Eibar
3,3,Bigas,Eibar
4,15,J gel,Eibar
5,21,P Len,Eibar
6,8,Diop,Eibar
7,18,Cristóforo,Eibar
8,14,Orellana,Eibar
9,9,Enrich,Eibar
10,19,Charles,Eibar
11,5,Escalante,Eibar
12,10,E Expsito,Eibar
13,16,D Blasis,Eibar
14,1,Reina,Mallorca
15,7,Pozo,Mallorca
16,24,Valjent,Mallorca
17,21,A Raillo,Mallorca
18,20,Sedlar,Mallorca
19,3,Lumor,Mallorca
20,26,Kubo,Mallorca
21,12,Baba,Mallorca
22,14,D Rodrguez,Mallorca
23,22,Budimir,Mallorca
24,29,Hernández,Mallorca
25,10,SY Ki,Mallorca
26,11,Lago Jr,Mallorca
27,19,Chavarría,Mallorca
