,player_num,player_name,team
0,1,Dmitrović,Eibar
1,16,D Blasis,Eibar
2,23,Arbilla,Eibar
3,3,Bigas,Eibar
4,15,J gel,Eibar
5,14,Orellana,Eibar
6,5,Escalante,Eibar
7,8,Diop,Eibar
8,22,Inui,Eibar
9,17,K Garca,Eibar
10,9,Enrich,Eibar
11,10,E Expsito,Eibar
12,21,P Len,Eibar
13,19,Charles,Eibar
14,13,Courtois,Real Madrid
15,2,Carvajal,Real Madrid
16,5,Varane,Real Madrid
17,4,Ramos,Real Madrid
18,23,Mendy,Real Madrid
19,10,Modrić,Real Madrid
20,14,Casemiro,Real Madrid
21,15,Valverde,Real Madrid
22,17,L Vzquez,Real Madrid
23,9,Benzema,Real Madrid
24,7,Hazard,Real Madrid
25,22,Isco,Real Madrid
26,21,Díaz,Real Madrid
27,25,Vincius Jr,Real Madrid
