,player_num,player_name,team
0,13,López,Espanyol de Barcelona
1,4,V chez,Espanyol de Barcelona
2,20,Espinosa,Espanyol de Barcelona
3,18,Cabrera,Espanyol de Barcelona
4,17,Dídac,Espanyol de Barcelona
5,14,s lendo,Espanyol de Barcelona
6,21,M Roca,Espanyol de Barcelona
7,15,D Lpez,Espanyol de Barcelona
8,10,S Darder,Espanyol de Barcelona
9,12,Calleri,Espanyol de Barcelona
10,11,Ral de Toms,Espanyol de Barcelona
11,6,L Lpez,Espanyol de Barcelona
12,25,A Embarba,Espanyol de Barcelona
13,7,W Lei,Espanyol de Barcelona
14,13,I Herrern,Athletic Club
15,21,Capa,Athletic Club
16,5,Yeray,Athletic Club
17,3,Núñez,Athletic Club
18,4,I rtnez,Athletic Club
19,17,Yuri,Athletic Club
20,10,Muniain,Athletic Club
21,14,D Garcia,Athletic Club
22,16,M Vesga,Athletic Club
23,9,I lliams,Athletic Club
24,25,Villalibre,Athletic Club
25,7,Beñat,Athletic Club
26,22,R rca,Athletic Club
27,23,Kodro,Athletic Club
