,player_num,player_name,team
0,13,López,Espanyol de Barcelona
1,34,Gómez,Espanyol de Barcelona
2,20,Espinosa,Espanyol de Barcelona
3,18,Cabrera,Espanyol de Barcelona
4,17,Dídac,Espanyol de Barcelona
5,14,s lendo,Espanyol de Barcelona
6,15,D Lpez,Espanyol de Barcelona
7,21,M Roca,Espanyol de Barcelona
8,23,A Embarba,Espanyol de Barcelona
9,31,V mpuzano,Espanyol de Barcelona
10,12,Calleri,Espanyol de Barcelona
11,7,W Lei,Espanyol de Barcelona
12,10,S Darder,Espanyol de Barcelona
13,11,Ral de Toms,Espanyol de Barcelona
14,33,N Melamed,Espanyol de Barcelona
15,1,Dmitrović,Eibar
16,24,Tejero,Eibar
17,2,Burgos,Eibar
18,3,Bigas,Eibar
19,11,R Soares,Eibar
20,6,Alvarez,Eibar
21,18,Cristóforo,Eibar
22,8,Diop,Eibar
23,10,E Expsito,Eibar
24,22,Inui,Eibar
25,17,K Garca,Eibar
26,9,Enrich,Eibar
27,12,P Oliveira,Eibar
28,16,D Blasis,Eibar
29,23,Arbilla,Eibar
30,33,M Atienza,Eibar
