,player_num,player_name,team
0,13,López,Espanyol de Barcelona
1,16,J Lpez,Espanyol de Barcelona
2,15,D Lpez,Espanyol de Barcelona
3,18,Cabrera,Espanyol de Barcelona
4,17,Dídac,Espanyol de Barcelona
5,14,s lendo,Espanyol de Barcelona
6,4,V chez,Espanyol de Barcelona
7,21,M Roca,Espanyol de Barcelona
8,23,A Embarba,Espanyol de Barcelona
9,7,W Lei,Espanyol de Barcelona
10,12,Calleri,Espanyol de Barcelona
11,2,Pipa,Espanyol de Barcelona
12,3,A drosa,Espanyol de Barcelona
13,10,S Darder,Espanyol de Barcelona
14,9,Ferreyra,Espanyol de Barcelona
15,22,Vargas,Espanyol de Barcelona
16,13,A Fernndez,Levante
17,20,Miramón,Levante
18,15,Postigo,Levante
19,14,Rben Vezo,Levante
20,19,Clerc,Levante
21,24,Campaña,Levante
22,17,Vukčević,Levante
23,22,Melero,Levante
24,10,Bardhi,Levante
25,21,B Mayoral,Levante
26,9,Roger,Levante
27,18,Bruno,Levante
28,5,Radoja,Levante
29,36,Martínez,Levante
30,8,Hernâni,Levante
31,11,Morales,Levante
