,player_num,player_name,team
0,13,López,Espanyol de Barcelona
1,4,V chez,Espanyol de Barcelona
2,6,L Lpez,Espanyol de Barcelona
3,24,Calero,Espanyol de Barcelona
4,17,Dídac,Espanyol de Barcelona
5,7,W Lei,Espanyol de Barcelona
6,10,S Darder,Espanyol de Barcelona
7,21,M Roca,Espanyol de Barcelona
8,23,Granero,Espanyol de Barcelona
9,12,Calleri,Espanyol de Barcelona
10,22,Vargas,Espanyol de Barcelona
11,3,A drosa,Espanyol de Barcelona
12,15,D Lpez,Espanyol de Barcelona
13,31,V mpuzano,Espanyol de Barcelona
14,13,Moyá,Real Sociedad
15,2,Zaldùa,Real Sociedad
16,6,Elustondo,Real Sociedad
17,3,Llorente,Real Sociedad
18,20,Monreal,Real Sociedad
19,5,I Zubelda,Real Sociedad
20,8,Merino,Real Sociedad
21,7,Portu,Real Sociedad
22,21,Ødegaard,Real Sociedad
23,10,Oyarzabal,Real Sociedad
24,9,W Jos,Real Sociedad
25,24,L Normand,Real Sociedad
26,17,Zurutuza,Real Sociedad
27,19,Isak,Real Sociedad
