,player_num,player_name,team
0,13,López,Espanyol de Barcelona
1,16,J Lpez,Espanyol de Barcelona
2,6,L Lpez,Espanyol de Barcelona
3,5,Naldo,Espanyol de Barcelona
4,17,Dídac,Espanyol de Barcelona
5,14,s lendo,Espanyol de Barcelona
6,21,M Roca,Espanyol de Barcelona
7,4,V chez,Espanyol de Barcelona
8,22,Vargas,Espanyol de Barcelona
9,9,Ferreyra,Espanyol de Barcelona
10,7,W Lei,Espanyol de Barcelona
11,24,Calero,Espanyol de Barcelona
12,10,S Darder,Espanyol de Barcelona
13,31,V mpuzano,Espanyol de Barcelona
14,1,Vaclík,Sevilla
15,16,J Navas,Sevilla
16,20,D Carlos,Sevilla
17,6,D Carrio,Sevilla
18,23,Reguilón,Sevilla
19,24,J Jordn,Sevilla
20,25,Fernando,Sevilla
21,21,O Torres,Sevilla
22,5,Ocampos,Sevilla
23,19,d Jong,Sevilla
24,8,Nolito,Sevilla
25,12,Koundé,Sevilla
26,17,Gudelj,Sevilla
27,11,Munir,Sevilla
