,player_num,player_name,team
0,13,D Soria,Getafe
1,22,Suárez,Getafe
2,2,Djene,Getafe
3,6,Cabrera,Getafe
4,14,García,Getafe
5,21,Fajr,Getafe
6,20,Maksimović,Getafe
7,18,Arambarri,Getafe
8,15,Cucurella,Getafe
9,10,E Gallego,Getafe
10,7,J Mata,Getafe
11,12,Nyom,Getafe
12,5,Bergara,Getafe
13,8,Portillo,Getafe
14,1,U Simn,Athletic Club
15,21,Capa,Athletic Club
16,3,Núñez,Athletic Club
17,5,Yeray,Athletic Club
18,17,Yuri,Athletic Club
19,14,D Garcia,Athletic Club
20,7,Beñat,Athletic Club
21,18,D Marcos,Athletic Club
22,22,R rca,Athletic Club
23,10,Muniain,Athletic Club
24,9,I lliams,Athletic Club
25,6,S Jos,Athletic Club
26,12,G Larrazabal,Athletic Club
27,20,Aduriz,Athletic Club
