,player_num,player_name,team
0,13,D Soria,Getafe
1,4,Cabaco,Getafe
2,2,Djene,Getafe
3,24,Timor,Getafe
4,12,Nyom,Getafe
5,20,Maksimović,Getafe
6,18,Arambarri,Getafe
7,15,Cucurella,Getafe
8,17,Olivera,Getafe
9,26,H Duro,Getafe
10,7,J Mata,Getafe
11,9,Angel,Getafe
12,11,Amath,Getafe
13,19,J Molina,Getafe
14,21,Fajr,Getafe
15,23,Jason,Getafe
16,13,Oblak,Atletico Madrid
17,4,Arias,Atletico Madrid
18,2,Gimenez,Atletico Madrid
19,18,Felipe,Atletico Madrid
20,35,M Snchez,Atletico Madrid
21,10,Correa,Atletico Madrid
22,6,Koke,Atletico Madrid
23,8,Sal guez,Atletico Madrid
24,21,Carrasco,Atletico Madrid
25,14,Llorente,Atletico Madrid
26,19,D Costa,Atletico Madrid
27,5,Partey,Atletico Madrid
28,9,Morata,Atletico Madrid
29,11,Lemar,Atletico Madrid
30,16,Herrera,Atletico Madrid
31,20,Vitolo,Atletico Madrid
