,player_num,player_name,team
0,13,D Soria,Getafe
1,22,Suárez,Getafe
2,2,Djene,Getafe
3,6,Cabrera,Getafe
4,12,Nyom,Getafe
5,21,Fajr,Getafe
6,18,Arambarri,Getafe
7,24,Timor,Getafe
8,15,Cucurella,Getafe
9,19,J Molina,Getafe
10,7,J Mata,Getafe
11,5,Bergara,Getafe
12,8,Portillo,Getafe
13,9,Angel,Getafe
14,13,A Sivera,Deportivo Alaves
15,21,Martín,Deportivo Alaves
16,5,Laguardia,Deportivo Alaves
17,4,R Ely,Deportivo Alaves
18,3,R arte,Deportivo Alaves
19,17,Adrin Marn,Deportivo Alaves
20,22,Wakaso,Deportivo Alaves
21,8,Pina,Deportivo Alaves
22,19,M Garca,Deportivo Alaves
23,18,Aleix,Deportivo Alaves
24,9,Joselu,Deportivo Alaves
25,27,Tachi,Deportivo Alaves
26,7,Lucas,Deportivo Alaves
27,11,L Rioja,Deportivo Alaves
