,player_num,player_name,team
0,13,D Soria,Getafe
1,22,Suárez,Getafe
2,4,Cabaco,Getafe
3,6,Chema,Getafe
4,17,Olivera,Getafe
5,12,Nyom,Getafe
6,20,Maksimović,Getafe
7,18,Arambarri,Getafe
8,15,Cucurella,Getafe
9,19,J Molina,Getafe
10,7,J Mata,Getafe
11,24,Timor,Getafe
12,5,Etebo,Getafe
13,25,Kenedy,Getafe
14,9,Angel,Getafe
15,23,Jason,Getafe
16,13,López,Espanyol de Barcelona
17,2,Pipa,Espanyol de Barcelona
18,20,Espinosa,Espanyol de Barcelona
19,18,Cabrera,Espanyol de Barcelona
20,17,Dídac,Espanyol de Barcelona
21,10,S Darder,Espanyol de Barcelona
22,15,D Lpez,Espanyol de Barcelona
23,21,M Roca,Espanyol de Barcelona
24,23,A Embarba,Espanyol de Barcelona
25,7,W Lei,Espanyol de Barcelona
26,12,Calleri,Espanyol de Barcelona
27,3,A drosa,Espanyol de Barcelona
28,4,V chez,Espanyol de Barcelona
29,14,s lendo,Espanyol de Barcelona
30,9,Ferreyra,Espanyol de Barcelona
