,player_num,player_name,team
0,13,D Soria,Getafe
1,12,Nyom,Getafe
2,2,Djene,Getafe
3,6,Cabrera,Getafe
4,14,García,Getafe
5,23,Jason,Getafe
6,18,Arambarri,Getafe
7,20,Maksimović,Getafe
8,15,Cucurella,Getafe
9,19,J Molina,Getafe
10,7,J Mata,Getafe
11,24,Timor,Getafe
12,25,Kenedy,Getafe
13,9,Angel,Getafe
14,1,Cuéllar,Leganés
15,3,U Bustinza,Leganés
16,4,Omeruo,Leganés
17,22,Siovas,Leganés
18,16,Rosales,Leganés
19,17,Eraso,Leganés
20,8,Recio,Leganés
21,6,R Mesa,Leganés
22,5,Silva,Leganés
23,18,Carrillo,Leganés
24,9,Sabin,Leganés
25,27,s drguez,Leganés
26,7,Braithwaite,Leganés
27,26,En-Nesyri,Leganés
