,player_num,player_name,team
0,13,D Soria,Getafe
1,12,Nyom,Getafe
2,2,Djene,Getafe
3,6,Cabrera,Getafe
4,15,Cucurella,Getafe
5,23,Jason,Getafe
6,18,Arambarri,Getafe
7,20,Maksimović,Getafe
8,25,Kenedy,Getafe
9,19,J Molina,Getafe
10,9,Angel,Getafe
11,7,J Mata,Getafe
12,8,Portillo,Getafe
13,10,E Gallego,Getafe
14,13,Rubén,Osasuna
15,12,Roncaglia,Osasuna
16,23,Aridane,Osasuna
17,5,D Garca,Osasuna
18,30,Estupiñán,Osasuna
19,6,Oier,Osasuna
20,20,Brašanac,Osasuna
21,2,N Vidal,Osasuna
22,14,R rca,Osasuna
23,10,R Torres,Osasuna
24,7,Cardona,Osasuna
25,1,S Herrera,Osasuna
26,8,F Mrida,Osasuna
27,11,B Thomas,Osasuna
