,player_num,player_name,team
0,13,D Soria,Getafe
1,22,Suárez,Getafe
2,2,Djene,Getafe
3,16,Etxeita,Getafe
4,17,Olivera,Getafe
5,12,Nyom,Getafe
6,18,Arambarri,Getafe
7,20,Maksimović,Getafe
8,15,Cucurella,Getafe
9,7,J Mata,Getafe
10,19,J Molina,Getafe
11,5,Etebo,Getafe
12,9,Angel,Getafe
13,14,Deyverson,Getafe
14,1,Robles,Real Betis
15,19,Barragán,Real Betis
16,23,Mandi,Real Betis
17,5,Bartra,Real Betis
18,15,l reno,Real Betis
19,32,E Gonzlez,Real Betis
20,8,Fekir,Real Betis
21,10,Canales,Real Betis
22,18,Guardado,Real Betis
23,17,Joaquín,Real Betis
24,16,L Morn,Real Betis
25,24,Aleñá,Real Betis
26,9,B Iglesias,Real Betis
27,11,Tello,Real Betis
