,player_num,player_name,team
0,13,D Soria,Getafe
1,22,Suárez,Getafe
2,2,Djene,Getafe
3,6,Chema,Getafe
4,17,Olivera,Getafe
5,12,Nyom,Getafe
6,5,Etebo,Getafe
7,20,Maksimović,Getafe
8,15,Cucurella,Getafe
9,19,J Molina,Getafe
10,14,Deyverson,Getafe
11,18,Arambarri,Getafe
12,25,Kenedy,Getafe
13,9,Angel,Getafe
14,1,Vaclík,Sevilla
15,12,Koundé,Sevilla
16,17,Gudelj,Sevilla
17,20,D Carlos,Sevilla
18,16,J Navas,Sevilla
19,24,J Jordn,Sevilla
20,25,Fernando,Sevilla
21,23,Reguilón,Sevilla
22,14,Suso,Sevilla
23,19,d Jong,Sevilla
24,5,Ocampos,Sevilla
25,13,Bounou,Sevilla
26,3,S Gmez,Sevilla
27,21,O Torres,Sevilla
