,player_num,player_name,team
0,13,D Soria,Getafe
1,12,Nyom,Getafe
2,2,Djene,Getafe
3,16,Etxeita,Getafe
4,17,Olivera,Getafe
5,23,Jason,Getafe
6,18,Arambarri,Getafe
7,24,Timor,Getafe
8,15,Cucurella,Getafe
9,20,Maksimović,Getafe
10,7,J Mata,Getafe
11,8,Portillo,Getafe
12,9,Angel,Getafe
13,11,Amath,Getafe
14,26,H Duro,Getafe
15,1,Asenjo,Villarreal
16,20,R Pea,Villarreal
17,3,Albiol,Villarreal
18,4,P Torres,Villarreal
19,18,A Moreno,Villarreal
20,19,Z Anguissa,Villarreal
21,10,Iborra,Villarreal
22,11,Chukwueze,Villarreal
23,8,S Cazorla,Villarreal
24,24,J Ontiveros,Villarreal
25,7,G Moreno,Villarreal
26,2,M Gaspar,Villarreal
27,14,Trigueros,Villarreal
28,23,M Gmez,Villarreal
29,34,N driguez,Villarreal
