,player_num,player_name,team
0,1,R Silva,Granada CF
1,20,Vallejo,Granada CF
2,22,D Duarte,Granada CF
3,5,J rtnez,Granada CF
4,2,Foulquier,Granada CF
5,21,Herrera,Granada CF
6,8,Eteki,Granada CF
7,11,Köybasi,Granada CF
8,14,F Vico,Granada CF
9,7,Vadillo,Granada CF
10,9,Soldado,Granada CF
11,10,A Puertas,Granada CF
12,12,Azeez,Granada CF
13,23,Machís,Granada CF
14,13,Ruben,Celta Vigo
15,2,H Mallo,Celta Vigo
16,21,Murillo,Celta Vigo
17,4,Araujo,Celta Vigo
18,15,Olaza,Celta Vigo
19,12,Rafinha,Celta Vigo
20,8,F Beltran,Celta Vigo
21,5,Yokuşlu,Celta Vigo
22,11,Sisto,Celta Vigo
23,10,I Aspas,Celta Vigo
24,9,Smolov,Celta Vigo
25,23,B Mndez,Celta Vigo
26,24,P Cheikh,Celta Vigo
27,22,S Mina,Celta Vigo
