,player_num,player_name,team
0,1,R Silva,Granada CF
1,16,Vctor Daz,Granada CF
2,22,D Duarte,Granada CF
3,5,J rtnez,Granada CF
4,17,Quini,Granada CF
5,4,Gonalons,Granada CF
6,21,Herrera,Granada CF
7,10,A Puertas,Granada CF
8,24,C Fernndez,Granada CF
9,7,Vadillo,Granada CF
10,9,Soldado,Granada CF
11,15,Neva,Granada CF
12,8,Eteki,Granada CF
13,23,Machís,Granada CF
14,1,Pacheco,Deportivo Alaves
15,23,Ximo,Deportivo Alaves
16,5,Laguardia,Deportivo Alaves
17,4,R Ely,Deportivo Alaves
18,17,Adrin Marn,Deportivo Alaves
19,18,Aleix,Deportivo Alaves
20,8,Pina,Deportivo Alaves
21,19,M Garca,Deportivo Alaves
22,11,L Rioja,Deportivo Alaves
23,9,Joselu,Deportivo Alaves
24,7,Lucas,Deportivo Alaves
25,20,P Pons,Deportivo Alaves
26,22,Wakaso,Deportivo Alaves
27,24,Burke,Deportivo Alaves
