,player_num,player_name,team
0,1,R Silva,Granada CF
1,16,Vctor Daz,Granada CF
2,22,D Duarte,Granada CF
3,6,G chez,Granada CF
4,15,Neva,Granada CF
5,8,Eteki,Granada CF
6,19,Montoro,Granada CF
7,10,A Puertas,Granada CF
8,24,C Fernndez,Granada CF
9,23,Machís,Granada CF
10,9,Soldado,Granada CF
11,2,Foulquier,Granada CF
12,12,Azeez,Granada CF
13,7,Vadillo,Granada CF
14,1,Reina,Mallorca
15,24,Valjent,Mallorca
16,20,Sedlar,Mallorca
17,21,A Raillo,Mallorca
18,15,F Gmez,Mallorca
19,4,Señé,Mallorca
20,8,S Sevilla,Mallorca
21,11,Lago Jr,Mallorca
22,26,Kubo,Mallorca
23,14,D Rodrguez,Mallorca
24,29,Hernández,Mallorca
25,3,Lumor,Mallorca
26,23,Febas,Mallorca
27,9,Abdón,Mallorca
