,player_num,player_name,team
0,1,R Silva,Granada CF
1,16,Vctor Daz,Granada CF
2,22,D Duarte,Granada CF
3,5,J rtnez,Granada CF
4,15,Neva,Granada CF
5,21,Herrera,Granada CF
6,4,Gonalons,Granada CF
7,10,A Puertas,Granada CF
8,24,C Fernndez,Granada CF
9,7,Vadillo,Granada CF
10,9,Soldado,Granada CF
11,12,Azeez,Granada CF
12,20,Ramos,Granada CF
13,23,Machís,Granada CF
14,13,Rubén,Osasuna
15,2,N Vidal,Osasuna
16,23,Aridane,Osasuna
17,12,Roncaglia,Osasuna
18,30,Estupiñán,Osasuna
19,6,Oier,Osasuna
20,27,Moncayola,Osasuna
21,10,R Torres,Osasuna
22,20,Brašanac,Osasuna
23,11,B Thomas,Osasuna
24,9,Ávila,Osasuna
25,8,F Mrida,Osasuna
26,18,Juan,Osasuna
27,22,Adrián,Osasuna
