,player_num,player_name,team
0,1,R Silva,Granada CF
1,2,Foulquier,Granada CF
2,16,Vctor Daz,Granada CF
3,6,G chez,Granada CF
4,5,J rtnez,Granada CF
5,15,Neva,Granada CF
6,17,G Dias,Granada CF
7,21,Herrera,Granada CF
8,4,Gonalons,Granada CF
9,7,Vadillo,Granada CF
10,24,C Fernndez,Granada CF
11,10,A Puertas,Granada CF
12,14,F Vico,Granada CF
13,23,Machís,Granada CF
14,1,J Masip,Real Valladolid
15,17,J Moyano,Real Valladolid
16,4,Kiko,Real Valladolid
17,27,Salisu,Real Valladolid
18,6,García,Real Valladolid
19,10,O Plano,Real Valladolid
20,16,Fede,Real Valladolid
21,14,R caraz,Real Valladolid
22,19,T Villa,Real Valladolid
23,7,S Guardiola,Real Valladolid
24,9,Ünal,Real Valladolid
25,18,Antoñito,Real Valladolid
26,21,Míchel,Real Valladolid
27,23,W Rubio,Real Valladolid
