,player_num,player_name,team
0,13,J Soriano,Leganés
1,16,Rosales,Leganés
2,15,Tarín,Leganés
3,4,Omeruo,Leganés
4,22,Siovas,Leganés
5,5,Silva,Leganés
6,6,R Mesa,Leganés
7,21,Rubn Prez,Leganés
8,17,Eraso,Leganés
9,26,En-Nesyri,Leganés
10,7,Braithwaite,Leganés
11,3,U Bustinza,Leganés
12,10,J niz,Leganés
13,33,J Avils,Leganés
14,13,Oblak,Atletico Madrid
15,23,Trippier,Atletico Madrid
16,15,Savić,Atletico Madrid
17,2,Gimenez,Atletico Madrid
18,22,Hermoso,Atletico Madrid
19,6,Koke,Atletico Madrid
20,5,Partey,Atletico Madrid
21,8,Sal guez,Atletico Madrid
22,11,Lemar,Atletico Madrid
23,7,Joo Flix,Atletico Madrid
24,9,Morata,Atletico Madrid
25,14,Llorente,Atletico Madrid
26,18,Felipe,Atletico Madrid
27,20,Vitolo,Atletico Madrid
