,player_num,player_name,team
0,1,Cuéllar,Leganés
1,16,Rosales,Leganés
2,3,U Bustinza,Leganés
3,4,Omeruo,Leganés
4,22,Siovas,Leganés
5,5,Silva,Leganés
6,27,s drguez,Leganés
7,6,R Mesa,Leganés
8,21,Rubn Prez,Leganés
9,7,Braithwaite,Leganés
10,26,En-Nesyri,Leganés
11,15,Tarín,Leganés
12,17,Eraso,Leganés
13,18,Carrillo,Leganés
14,1,t Stegen,Barcelona
15,16,Wagué,Barcelona
16,3,Piqué,Barcelona
17,23,Umtiti,Barcelona
18,24,Junior,Barcelona
19,21,d Jong,Barcelona
20,5,Busquets,Barcelona
21,11,Dembèlé,Barcelona
22,10,Messi,Barcelona
23,17,Griezmann,Barcelona
24,9,Suárez,Barcelona
25,4,Rakitić,Barcelona
26,22,Vidal,Barcelona
27,31,Fati,Barcelona
