,player_num,player_name,team
0,1,Cuéllar,Leganés
1,15,Tarín,Leganés
2,12,Awaziem,Leganés
3,5,Silva,Leganés
4,3,U Bustinza,Leganés
5,21,Rubn Prez,Leganés
6,8,Recio,Leganés
7,24,Rodrigues,Leganés
8,27,s drguez,Leganés
9,7,Braithwaite,Leganés
10,26,En-Nesyri,Leganés
11,6,R Mesa,Leganés
12,17,Eraso,Leganés
13,18,Carrillo,Leganés
14,13,Ruben,Celta Vigo
15,2,H Mallo,Celta Vigo
16,18,Aidoo,Celta Vigo
17,4,Araujo,Celta Vigo
18,15,Olaza,Celta Vigo
19,24,P Cheikh,Celta Vigo
20,5,Yokuşlu,Celta Vigo
21,12,Rafinha,Celta Vigo
22,22,S Mina,Celta Vigo
23,10,I Aspas,Celta Vigo
24,6,Suárez,Celta Vigo
25,23,B Mndez,Celta Vigo
26,11,Sisto,Celta Vigo
27,19,Fernández,Celta Vigo
