,player_num,player_name,team
0,1,Cuéllar,Leganés
1,12,Awaziem,Leganés
2,4,Omeruo,Leganés
3,22,Siovas,Leganés
4,3,U Bustinza,Leganés
5,17,Eraso,Leganés
6,21,Rubn Prez,Leganés
7,24,Rodrigues,Leganés
8,27,s drguez,Leganés
9,9,Guerrero,Leganés
10,18,Carrillo,Leganés
11,8,Recio,Leganés
12,19,A Ruibal,Leganés
13,26,B Gil,Leganés
14,1,Pacheco,Deportivo Alaves
15,23,Ximo,Deportivo Alaves
16,5,Laguardia,Deportivo Alaves
17,4,R Ely,Deportivo Alaves
18,3,R arte,Deportivo Alaves
19,16,Edgar,Deportivo Alaves
20,15,Fejsa,Deportivo Alaves
21,19,M Garca,Deportivo Alaves
22,18,Aleix,Deportivo Alaves
23,7,Lucas,Deportivo Alaves
24,9,Joselu,Deportivo Alaves
25,6,Magallán,Deportivo Alaves
26,20,P Pons,Deportivo Alaves
27,24,Burke,Deportivo Alaves
